"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Chris Gittens","NYY","25.2%","61.1%","39.3%","50.0%","75.0%","65.3%","39.3%","77.3%","13.7%","20.2%","33.9%","18482"
"Ehire Adrianza","ATL","25.3%","68.3%","44.8%","61.7%","88.8%","80.5%","45.4%","56.0%","8.7%","17.5%","26.2%","8418"
"Matt Duffy","CHC","25.3%","63.1%","42.4%","70.5%","93.6%","86.1%","45.2%","59.6%","5.9%","20.6%","26.5%","13836"
"Matt Joyce","PHI","25.3%","68.9%","44.9%","55.3%","78.6%","71.3%","44.9%","55.1%","12.9%","16.5%","29.4%","3353"
"Max Kepler","MIN","25.3%","71.3%","44.6%","64.5%","86.5%","79.2%","42.0%","55.5%","9.3%","14.8%","24.1%","12144"
"Kyle Lewis","SEA","25.4%","76.3%","47.0%","56.8%","73.5%","68.3%","42.5%","56.5%","14.9%","15.7%","30.6%","19508"
"Chi Chi Gonzalez","COL","25.4%","55.6%","39.3%","31.3%","83.3%","65.2%","46.2%","55.9%","13.7%","31.6%","45.3%","14663"
"Tyler Nevin","BAL","25.5%","57.1%","36.1%","64.3%","87.5%","76.7%","33.7%","50.0%","8.4%","20.5%","28.9%","17893"
"J.P. Crawford","SEA","25.5%","65.5%","44.0%","74.3%","92.2%","86.6%","46.3%","59.8%","5.9%","18.7%","24.5%","15491"
"Jake Cave","MIN","25.5%","68.1%","45.3%","45.9%","82.5%","71.5%","46.6%","59.6%","12.9%","17.5%","30.5%","14477"
"Luis Guillorme","NYM","25.5%","57.8%","39.6%","80.0%","92.8%","88.2%","43.7%","62.2%","4.7%","21.2%","25.9%","16451"
"DJ LeMahieu","NYY","25.6%","62.1%","41.4%","78.5%","92.6%","87.6%","43.2%","61.1%","5.1%","20.8%","25.9%","9874"
"Jed Lowrie","OAK","25.6%","73.0%","46.5%","60.7%","85.5%","77.9%","44.2%","58.0%","10.3%","14.5%","24.7%","4418"
"Alfonso Rivas III","CHC","25.6%","64.7%","41.4%","56.3%","83.6%","73.6%","40.5%","44.9%","11.0%","19.5%","30.5%","21560"
"Jurickson Profar","SDP","25.6%","66.4%","43.5%","71.9%","88.3%","82.9%","43.9%","56.6%","7.4%","17.3%","24.7%","10815"
"Chris Paddack","SDP","25.6%","45.9%","36.2%","30.0%","64.1%","52.5%","52.1%","61.9%","17.2%","28.2%","45.4%","20099"
"Austin Barnes","LAD","25.7%","67.5%","44.0%","63.3%","82.2%","76.0%","43.9%","56.9%","10.6%","17.2%","27.8%","12158"
"Marcus Semien","TOR","25.8%","71.6%","45.1%","63.5%","89.1%","80.6%","42.1%","59.5%","8.7%","15.8%","24.5%","12533"
